,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Daerah_Khusus_Ibukota_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kepulauan_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2050/01/01 00:00:00,-3165.2,-5329.0,-23988.4,-1091.4,-3245.2,-34650.4,-647.6,-2165.8,-53367.7,-27027.7,-40518.0,-2925.3,-3166.2,-1609.1,-4160.6,-281.8,-1311.3,-3588.0,-5341.9,-590.7,-636.6,-2315.6,-1221.3,-1220.3,-589.7,-5351.0,-456.8,-6439.4,-1369.2,-1145.4,-2005.8,-3693.9,-5718.7,-12057.1
2050/01/01 01:00:00,-3328.7,-5604.2,-25227.4,-1147.8,-3412.8,-36440.0,-681.0,-2277.6,-56124.2,-28423.6,-42610.7,-3076.4,-3329.8,-1692.2,-4375.5,-296.4,-1379.0,-3773.3,-5617.9,-621.2,-669.5,-2435.3,-1284.4,-1283.4,-620.1,-5627.4,-480.4,-6772.0,-1439.9,-1204.6,-2109.4,-3884.7,-6014.1,-12679.9
2050/01/01 02:00:00,-3504.3,-5899.9,-26558.5,-1208.3,-3592.9,-38362.8,-717.0,-2397.8,-59085.6,-29923.5,-44859.1,-3238.7,-3505.4,-1781.5,-4606.4,-312.0,-1451.8,-3972.4,-5914.3,-653.9,-704.8,-2563.7,-1352.2,-1351.1,-652.8,-5924.3,-505.7,-7129.3,-1515.9,-1268.1,-2220.7,-4089.7,-6331.5,-13348.9
2050/01/01 03:00:00,-3576.1,-6020.8,-27102.7,-1233.1,-3666.5,-39148.9,-731.7,-2446.9,-60296.2,-30536.6,-45778.3,-3305.1,-3577.3,-1818.0,-4700.8,-318.4,-1481.5,-4053.8,-6035.5,-667.3,-719.3,-2616.3,-1379.9,-1378.8,-666.2,-6045.7,-516.1,-7275.4,-1547.0,-1294.1,-2266.2,-4173.5,-6461.2,-13622.4
2050/01/01 04:00:00,-3577.5,-6023.1,-27112.9,-1233.5,-3667.9,-39163.5,-731.9,-2447.9,-60318.8,-30548.0,-45795.4,-3306.3,-3578.6,-1818.7,-4702.6,-318.6,-1482.1,-4055.3,-6037.7,-667.6,-719.5,-2617.3,-1380.4,-1379.3,-666.5,-6048.0,-516.3,-7278.1,-1547.5,-1294.6,-2267.1,-4175.0,-6463.6,-13627.6
2050/01/01 05:00:00,-3627.1,-6106.7,-27489.2,-1250.7,-3718.8,-39707.1,-742.1,-2481.8,-61156.1,-30972.0,-46431.1,-3352.2,-3628.3,-1843.9,-4767.8,-323.0,-1502.6,-4111.6,-6121.5,-676.9,-729.5,-2653.6,-1399.6,-1398.4,-675.7,-6131.9,-523.4,-7379.1,-1569.0,-1312.6,-2298.6,-4233.0,-6553.3,-13816.7
2050/01/01 06:00:00,-3720.8,-6264.3,-28198.7,-1282.9,-3814.8,-40732.0,-761.3,-2545.9,-62734.6,-31771.5,-47629.5,-3438.8,-3721.9,-1891.5,-4890.9,-331.3,-1541.4,-4217.7,-6279.5,-694.3,-748.4,-2722.1,-1435.7,-1434.5,-693.1,-6290.2,-536.9,-7569.6,-1609.5,-1346.4,-2357.9,-4342.2,-6722.5,-14173.3
2050/01/01 07:00:00,-3771.9,-6350.5,-28586.6,-1300.6,-3867.2,-41292.3,-771.7,-2580.9,-63597.6,-32208.5,-48284.7,-3486.1,-3773.1,-1917.6,-4958.2,-335.9,-1562.6,-4275.7,-6365.9,-703.9,-758.7,-2759.5,-1455.5,-1454.3,-702.7,-6376.7,-544.3,-7673.7,-1631.7,-1365.0,-2390.3,-4402.0,-6815.0,-14368.3
2050/01/01 08:00:00,-3819.4,-6430.3,-28946.1,-1316.9,-3915.9,-41811.6,-781.4,-2613.4,-64397.4,-32613.5,-48891.9,-3529.9,-3820.6,-1941.7,-5020.5,-340.1,-1582.3,-4329.5,-6446.0,-712.7,-768.2,-2794.2,-1473.8,-1472.5,-711.5,-6456.9,-551.2,-7770.2,-1652.2,-1382.1,-2420.4,-4457.3,-6900.7,-14549.0
2050/01/01 09:00:00,-3753.9,-6320.0,-28449.6,-1294.4,-3848.7,-41094.4,-768.0,-2568.5,-63292.8,-32054.1,-48053.3,-3469.3,-3755.1,-1908.4,-4934.4,-334.3,-1555.1,-4255.3,-6335.4,-700.5,-755.0,-2746.3,-1448.5,-1447.3,-699.3,-6346.1,-541.7,-7636.9,-1623.8,-1358.4,-2378.9,-4380.9,-6782.3,-14299.4
2050/01/01 10:00:00,-3698.8,-6227.3,-28032.3,-1275.4,-3792.2,-40491.6,-756.8,-2530.9,-62364.3,-31583.9,-47348.4,-3418.5,-3700.0,-1880.4,-4862.0,-329.4,-1532.3,-4192.8,-6242.5,-690.2,-743.9,-2706.0,-1427.2,-1426.1,-689.1,-6253.1,-533.8,-7524.9,-1600.0,-1338.5,-2344.0,-4316.6,-6682.8,-14089.7
2050/01/01 11:00:00,-3999.8,-6734.1,-30313.7,-1379.2,-4100.9,-43787.1,-818.4,-2736.8,-67439.9,-34154.4,-51201.9,-3696.7,-4001.1,-2033.4,-5257.7,-356.2,-1657.0,-4534.1,-6750.5,-746.4,-804.5,-2926.2,-1543.4,-1542.1,-745.1,-6762.0,-577.2,-8137.3,-1730.2,-1447.4,-2534.7,-4667.9,-7226.7,-15236.4
2050/01/01 12:00:00,-4152.9,-6991.9,-31473.9,-1431.9,-4257.8,-45462.9,-849.7,-2841.6,-70020.9,-35461.6,-53161.5,-3838.1,-4154.2,-2111.2,-5458.9,-369.8,-1720.4,-4707.6,-7008.9,-775.0,-835.3,-3038.2,-1602.5,-1601.1,-773.6,-7020.8,-599.3,-8448.7,-1796.5,-1502.8,-2631.7,-4846.6,-7503.3,-15819.5
2050/01/01 13:00:00,-4146.8,-6981.5,-31427.3,-1429.8,-4251.5,-45395.6,-848.4,-2837.4,-69917.2,-35409.1,-53082.7,-3832.5,-4148.1,-2108.1,-5450.9,-369.2,-1717.9,-4700.6,-6998.5,-773.8,-834.0,-3033.7,-1600.1,-1598.8,-772.5,-7010.4,-598.4,-8436.2,-1793.8,-1500.6,-2627.9,-4839.4,-7492.2,-15796.1
2050/01/01 14:00:00,-4092.7,-6890.4,-31017.3,-1411.2,-4196.1,-44803.4,-837.3,-2800.4,-69005.2,-34947.1,-52390.3,-3782.5,-4094.0,-2080.6,-5379.8,-364.4,-1695.5,-4639.3,-6907.2,-763.7,-823.2,-2994.2,-1579.2,-1577.9,-762.4,-6918.9,-590.6,-8326.2,-1770.4,-1481.0,-2593.6,-4776.3,-7394.4,-15590.0
2050/01/01 15:00:00,-3969.7,-6683.5,-30085.6,-1368.8,-4070.0,-43457.6,-812.2,-2716.2,-66932.4,-33897.4,-50816.6,-3668.8,-3971.0,-2018.1,-5218.2,-353.5,-1644.6,-4500.0,-6699.7,-740.8,-798.4,-2904.2,-1531.8,-1530.5,-739.5,-6711.1,-572.9,-8076.1,-1717.2,-1436.5,-2515.7,-4632.8,-7172.3,-15121.7
2050/01/01 16:00:00,-3783.5,-6369.9,-28674.2,-1304.6,-3879.1,-41418.9,-774.1,-2588.8,-63792.4,-32307.2,-48432.7,-3496.7,-3784.7,-1923.4,-4973.4,-336.9,-1567.4,-4288.9,-6385.4,-706.0,-761.0,-2768.0,-1459.9,-1458.7,-704.8,-6396.2,-546.0,-7697.2,-1636.7,-1369.1,-2397.6,-4415.5,-6835.8,-14412.3
2050/01/01 17:00:00,-3612.4,-6081.9,-27377.8,-1245.6,-3703.7,-39546.2,-739.1,-2471.8,-60908.2,-30846.5,-46242.8,-3338.6,-3613.6,-1836.5,-4748.5,-321.7,-1496.5,-4094.9,-6096.7,-674.1,-726.6,-2642.8,-1393.9,-1392.8,-673.0,-6107.0,-521.3,-7349.2,-1562.7,-1307.2,-2289.2,-4215.8,-6526.8,-13760.7
2050/01/01 18:00:00,-3496.2,-5886.3,-26497.2,-1205.5,-3584.6,-38274.3,-715.3,-2392.3,-58949.2,-29854.4,-44755.6,-3231.3,-3497.4,-1777.4,-4595.8,-311.3,-1448.4,-3963.2,-5900.6,-652.4,-703.2,-2557.8,-1349.1,-1348.0,-651.3,-5910.6,-504.5,-7112.8,-1512.4,-1265.2,-2215.6,-4080.2,-6316.8,-13318.1
2050/01/01 19:00:00,-3393.7,-5713.7,-25720.1,-1170.2,-3479.4,-37151.7,-694.3,-2322.1,-57220.2,-28978.7,-43442.9,-3136.5,-3394.8,-1725.3,-4461.0,-302.2,-1405.9,-3847.0,-5727.6,-633.3,-682.6,-2482.8,-1309.5,-1308.4,-632.2,-5737.3,-489.7,-6904.2,-1468.0,-1228.1,-2150.6,-3960.6,-6131.6,-12927.5
2050/01/01 20:00:00,-3347.1,-5635.3,-25367.2,-1154.1,-3431.7,-36642.0,-684.8,-2290.3,-56435.2,-28581.2,-42846.9,-3093.5,-3348.2,-1701.6,-4399.8,-298.0,-1386.6,-3794.2,-5649.0,-624.6,-673.2,-2448.7,-1291.5,-1290.5,-623.5,-5658.6,-483.0,-6809.5,-1447.9,-1211.2,-2121.1,-3906.2,-6047.4,-12750.1
2050/01/01 21:00:00,-3356.5,-5651.0,-25438.0,-1157.3,-3441.3,-36744.2,-686.7,-2296.6,-56592.7,-28660.9,-42966.4,-3102.1,-3357.5,-1706.3,-4412.1,-298.9,-1390.5,-3804.8,-5664.8,-626.3,-675.1,-2455.6,-1295.1,-1294.1,-625.3,-5674.3,-484.4,-6828.5,-1451.9,-1214.6,-2127.0,-3917.1,-6064.3,-12785.7
2050/01/01 22:00:00,-3450.1,-5808.6,-26147.5,-1189.6,-3537.3,-37769.1,-705.9,-2360.7,-58171.2,-29460.4,-44164.9,-3188.6,-3451.2,-1753.9,-4535.1,-307.2,-1429.3,-3910.9,-5822.8,-643.8,-693.9,-2524.1,-1331.3,-1330.2,-642.7,-5832.6,-497.9,-7019.0,-1492.4,-1248.5,-2186.4,-4026.4,-6233.5,-13142.4
2050/01/01 23:00:00,-3452.8,-5813.2,-26168.2,-1190.6,-3540.1,-37799.0,-706.4,-2362.6,-58217.2,-29483.7,-44199.8,-3191.1,-3453.9,-1755.3,-4538.7,-307.5,-1430.4,-3914.0,-5827.4,-644.3,-694.5,-2526.1,-1332.3,-1331.2,-643.2,-5837.2,-498.3,-7024.5,-1493.6,-1249.5,-2188.1,-4029.6,-6238.4,-13152.7
2050/01/02 00:00:00,-3827.2,-6443.5,-29005.4,-1319.6,-3923.9,-41897.2,-783.0,-2618.7,-64529.1,-32680.3,-48991.9,-3537.1,-3828.4,-1945.6,-5030.8,-340.8,-1585.5,-4338.4,-6459.2,-714.2,-769.8,-2799.9,-1476.8,-1475.6,-713.0,-6470.1,-552.3,-7786.1,-1655.6,-1384.9,-2425.3,-4466.5,-6914.8,-14578.8
2050/01/02 01:00:00,-4209.6,-7087.4,-31903.8,-1451.5,-4316.0,-46083.9,-861.3,-2880.4,-70977.4,-35946.0,-53887.6,-3890.6,-4211.0,-2140.1,-5533.5,-374.8,-1743.9,-4771.9,-7104.6,-785.6,-846.7,-3079.7,-1624.3,-1623.0,-784.2,-7116.7,-607.5,-8564.1,-1821.0,-1523.3,-2667.7,-4912.8,-7605.8,-16035.6
2050/01/02 02:00:00,-4423.7,-7447.8,-33526.2,-1525.3,-4535.5,-48427.3,-905.1,-3026.9,-74586.7,-37773.8,-56627.9,-4088.4,-4425.1,-2248.9,-5814.9,-393.9,-1832.6,-5014.6,-7465.9,-825.5,-889.7,-3236.3,-1706.9,-1705.5,-824.1,-7478.5,-638.4,-8999.6,-1913.6,-1600.8,-2803.4,-5162.6,-7992.5,-16851.0
2050/01/02 03:00:00,-4531.0,-7628.3,-34339.1,-1562.3,-4645.4,-49601.5,-927.0,-3100.3,-76395.2,-38689.8,-58000.9,-4187.5,-4532.4,-2303.4,-5955.9,-403.5,-1877.1,-5136.1,-7646.9,-845.5,-911.3,-3314.8,-1748.3,-1746.9,-844.1,-7659.9,-653.9,-9217.9,-1960.0,-1639.6,-2871.3,-5287.8,-8186.3,-17259.6
2050/01/02 04:00:00,-4453.0,-7497.0,-33748.0,-1535.4,-4565.5,-48747.7,-911.1,-3046.9,-75080.1,-38023.7,-57002.5,-4115.5,-4454.4,-2263.8,-5853.4,-396.5,-1844.8,-5047.7,-7515.3,-831.0,-895.6,-3257.8,-1718.2,-1716.8,-829.5,-7528.0,-642.6,-9059.2,-1926.3,-1611.4,-2821.9,-5196.7,-8045.4,-16962.5
2050/01/02 05:00:00,-4475.7,-7535.2,-33920.0,-1543.2,-4588.7,-48996.2,-915.7,-3062.4,-75462.9,-38217.6,-57293.1,-4136.4,-4477.1,-2275.3,-5883.2,-398.5,-1854.2,-5073.5,-7553.6,-835.2,-900.2,-3274.4,-1727.0,-1725.6,-833.8,-7566.4,-645.9,-9105.4,-1936.1,-1619.6,-2836.3,-5223.2,-8086.4,-17049.0
2050/01/02 06:00:00,-4624.5,-7785.8,-35047.9,-1594.5,-4741.3,-50625.4,-946.2,-3164.3,-77972.2,-39488.4,-59198.2,-4274.0,-4626.0,-2351.0,-6078.8,-411.8,-1915.8,-5242.2,-7804.8,-863.0,-930.1,-3383.2,-1784.4,-1783.0,-861.5,-7818.0,-667.4,-9408.1,-2000.5,-1673.5,-2930.6,-5396.9,-8355.3,-17615.9
2050/01/02 07:00:00,-4670.8,-7863.7,-35398.7,-1610.5,-4788.8,-51132.1,-955.6,-3195.9,-78752.5,-39883.6,-59790.7,-4316.8,-4672.3,-2374.5,-6139.7,-415.9,-1935.0,-5294.6,-7882.9,-871.6,-939.4,-3417.1,-1802.3,-1800.8,-870.1,-7896.2,-674.0,-9502.3,-2020.5,-1690.2,-2959.9,-5450.9,-8438.9,-17792.2
2050/01/02 08:00:00,-4648.0,-7825.4,-35225.9,-1602.6,-4765.4,-50882.5,-951.0,-3180.3,-78368.2,-39689.0,-59498.9,-4295.7,-4649.5,-2362.9,-6109.7,-413.9,-1925.5,-5268.8,-7844.4,-867.4,-934.9,-3400.4,-1793.5,-1792.0,-865.9,-7857.7,-670.7,-9455.9,-2010.6,-1682.0,-2945.5,-5424.3,-8397.7,-17705.4
2050/01/02 09:00:00,-4437.0,-7470.2,-33627.1,-1529.9,-4549.1,-48573.1,-907.8,-3036.0,-74811.2,-37887.5,-56798.3,-4100.7,-4438.4,-2255.7,-5832.4,-395.1,-1838.1,-5029.7,-7488.4,-828.0,-892.4,-3246.1,-1712.1,-1710.7,-826.6,-7501.1,-640.3,-9026.7,-1919.4,-1605.6,-2811.8,-5178.1,-8016.6,-16901.7
2050/01/02 10:00:00,-4237.7,-7134.7,-32116.9,-1461.2,-4344.8,-46391.6,-867.0,-2899.6,-71451.4,-36186.0,-54247.5,-3916.6,-4239.1,-2154.4,-5570.5,-377.4,-1755.6,-4803.8,-7152.1,-790.8,-852.3,-3100.3,-1635.2,-1633.8,-789.5,-7164.2,-611.5,-8621.3,-1833.2,-1533.5,-2685.5,-4945.6,-7656.5,-16142.7
2050/01/02 11:00:00,-4449.7,-7491.5,-33723.1,-1534.3,-4562.1,-48711.7,-910.4,-3044.7,-75024.8,-37995.7,-56960.5,-4112.4,-4451.1,-2262.1,-5849.1,-396.2,-1843.4,-5044.0,-7509.7,-830.3,-895.0,-3255.4,-1717.0,-1715.6,-828.9,-7522.5,-642.1,-9052.5,-1924.8,-1610.2,-2819.8,-5192.9,-8039.5,-16950.0
2050/01/02 12:00:00,-4526.8,-7621.3,-34307.5,-1560.9,-4641.2,-49556.0,-926.2,-3097.4,-76325.0,-38654.2,-57947.7,-4183.7,-4528.2,-2301.3,-5950.4,-403.1,-1875.3,-5131.4,-7639.9,-844.7,-910.5,-3311.8,-1746.7,-1745.3,-843.3,-7652.8,-653.3,-9209.4,-1958.2,-1638.1,-2868.7,-5282.9,-8178.8,-17243.8
2050/01/02 13:00:00,-4457.2,-7504.1,-33779.8,-1536.9,-4569.8,-48793.7,-911.9,-3049.8,-75151.0,-38059.7,-57056.4,-4119.3,-4458.6,-2265.9,-5858.9,-396.9,-1846.5,-5052.5,-7522.4,-831.7,-896.5,-3260.8,-1719.9,-1718.4,-830.3,-7535.1,-643.2,-9067.7,-1928.1,-1612.9,-2824.6,-5201.7,-8053.0,-16978.5
2050/01/02 14:00:00,-4334.7,-7298.0,-32852.0,-1494.6,-4444.3,-47453.5,-886.9,-2966.0,-73086.8,-37014.3,-55489.2,-4006.2,-4336.1,-2203.7,-5698.0,-386.0,-1795.8,-4913.7,-7315.8,-808.9,-871.9,-3171.3,-1672.6,-1671.2,-807.5,-7328.2,-625.5,-8818.7,-1875.1,-1568.6,-2747.0,-5058.8,-7831.8,-16512.2
2050/01/02 15:00:00,-4186.7,-7048.8,-31730.4,-1443.6,-4292.5,-45833.4,-856.6,-2864.7,-70591.5,-35750.5,-53594.7,-3869.4,-4188.1,-2128.4,-5503.4,-372.8,-1734.5,-4746.0,-7066.0,-781.3,-842.1,-3063.0,-1615.5,-1614.2,-780.0,-7078.0,-604.2,-8517.6,-1811.1,-1515.1,-2653.2,-4886.1,-7564.4,-15948.4
2050/01/02 16:00:00,-3975.1,-6692.5,-30126.3,-1370.6,-4075.5,-43516.3,-813.3,-2719.9,-67022.8,-33943.2,-50885.2,-3673.8,-3976.4,-2020.8,-5225.2,-354.0,-1646.8,-4506.0,-6708.8,-741.8,-799.5,-2908.1,-1533.8,-1532.6,-740.5,-6720.1,-573.6,-8087.0,-1719.5,-1438.5,-2519.1,-4639.1,-7182.0,-15142.2
2050/01/02 17:00:00,-3809.1,-6413.0,-28868.4,-1313.4,-3905.3,-41699.3,-779.3,-2606.3,-64224.3,-32525.9,-48760.5,-3520.4,-3810.3,-1936.4,-5007.0,-339.2,-1578.0,-4317.9,-6428.7,-710.8,-766.1,-2786.7,-1469.8,-1468.6,-709.6,-6439.5,-549.7,-7749.3,-1647.7,-1378.4,-2413.9,-4445.4,-6882.1,-14509.9
2050/01/02 18:00:00,-3689.5,-6211.7,-27962.2,-1272.2,-3782.8,-40390.4,-754.9,-2524.5,-62208.4,-31505.0,-47230.0,-3409.9,-3690.7,-1875.7,-4849.9,-328.5,-1528.5,-4182.4,-6226.9,-688.5,-742.1,-2699.2,-1423.7,-1422.5,-687.3,-6237.4,-532.4,-7506.1,-1596.0,-1335.1,-2338.1,-4305.8,-6666.1,-14054.5
2050/01/02 19:00:00,-3586.5,-6038.3,-27181.5,-1236.7,-3677.2,-39262.7,-733.8,-2454.1,-60471.6,-30625.4,-45911.4,-3314.7,-3587.7,-1823.3,-4714.5,-319.4,-1485.8,-4065.6,-6053.0,-669.3,-721.4,-2623.9,-1383.9,-1382.8,-668.1,-6063.3,-517.6,-7296.5,-1551.5,-1297.9,-2272.8,-4185.6,-6480.0,-13662.1
2050/01/02 20:00:00,-3521.1,-5928.2,-26685.7,-1214.1,-3610.1,-38546.6,-720.4,-2409.3,-59368.6,-30066.8,-45074.0,-3254.2,-3522.2,-1790.0,-4628.5,-313.5,-1458.7,-3991.4,-5942.6,-657.1,-708.2,-2576.0,-1358.7,-1357.6,-656.0,-5952.7,-508.1,-7163.4,-1523.2,-1274.2,-2231.4,-4109.3,-6361.8,-13412.9
2050/01/02 21:00:00,-3505.3,-5901.5,-26565.6,-1208.6,-3593.8,-38373.0,-717.2,-2398.4,-59101.2,-29931.3,-44871.0,-3239.6,-3506.4,-1782.0,-4607.6,-312.1,-1452.1,-3973.5,-5915.8,-654.1,-705.0,-2564.4,-1352.6,-1351.4,-653.0,-5925.9,-505.8,-7131.2,-1516.3,-1268.4,-2221.3,-4090.8,-6333.1,-13352.5
2050/01/02 22:00:00,-3588.8,-6042.1,-27198.4,-1237.4,-3679.4,-39287.0,-734.2,-2455.6,-60509.0,-30644.3,-45939.8,-3316.8,-3589.9,-1824.4,-4717.4,-319.6,-1486.7,-4068.1,-6056.8,-669.7,-721.8,-2625.5,-1384.8,-1383.6,-668.6,-6067.0,-517.9,-7301.0,-1552.4,-1298.7,-2274.2,-4188.2,-6484.0,-13670.5
2050/01/02 23:00:00,-3560.1,-5993.8,-26981.1,-1227.5,-3650.0,-38973.2,-728.4,-2436.0,-60025.7,-30399.6,-45572.9,-3290.3,-3561.2,-1809.9,-4679.7,-317.0,-1474.9,-4035.6,-6008.4,-664.3,-716.0,-2604.5,-1373.7,-1372.6,-663.2,-6018.6,-513.8,-7242.7,-1540.0,-1288.3,-2256.1,-4154.7,-6432.2,-13561.3
2050/01/03 00:00:00,-3873.6,-6521.6,-29357.2,-1335.6,-3971.5,-42405.3,-792.5,-2650.5,-65311.8,-33076.6,-49586.2,-3580.0,-3874.8,-1969.2,-5091.8,-344.9,-1604.7,-4391.0,-6537.5,-722.8,-779.1,-2833.9,-1494.7,-1493.5,-721.6,-6548.6,-559.0,-7880.5,-1675.6,-1401.7,-2454.8,-4520.6,-6998.6,-14755.6
2050/01/03 01:00:00,-4207.5,-7083.7,-31887.4,-1450.8,-4313.8,-46060.1,-860.8,-2878.9,-70940.8,-35927.4,-53859.8,-3888.6,-4208.8,-2139.0,-5530.7,-374.7,-1743.0,-4769.4,-7101.0,-785.1,-846.3,-3078.1,-1623.5,-1622.2,-783.8,-7113.0,-607.2,-8559.7,-1820.1,-1522.6,-2666.3,-4910.2,-7601.8,-16027.3
2050/01/03 02:00:00,-4421.0,-7443.2,-33505.5,-1524.4,-4532.7,-48397.4,-904.5,-3025.0,-74540.7,-37750.5,-56593.0,-4085.9,-4422.4,-2247.5,-5811.3,-393.7,-1831.5,-5011.5,-7461.3,-825.0,-889.2,-3234.3,-1705.9,-1704.5,-823.6,-7473.9,-638.0,-8994.1,-1912.4,-1599.8,-2801.6,-5159.4,-7987.6,-16840.6
2050/01/03 03:00:00,-4529.5,-7625.9,-34327.9,-1561.8,-4643.9,-49585.3,-926.7,-3099.3,-76370.2,-38677.1,-57982.0,-4186.2,-4530.9,-2302.7,-5953.9,-403.3,-1876.4,-5134.5,-7644.4,-845.2,-911.0,-3313.7,-1747.8,-1746.3,-843.8,-7657.4,-653.6,-9214.8,-1959.4,-1639.1,-2870.4,-5286.0,-8183.6,-17254.0
2050/01/03 04:00:00,-4454.2,-7499.1,-33757.4,-1535.8,-4566.7,-48761.3,-911.3,-3047.8,-75101.2,-38034.4,-57018.5,-4116.6,-4455.6,-2264.4,-5855.0,-396.6,-1845.3,-5049.1,-7517.4,-831.2,-895.9,-3258.7,-1718.7,-1717.3,-829.8,-7530.1,-642.8,-9061.7,-1926.8,-1611.8,-2822.7,-5198.2,-8047.6,-16967.3
2050/01/03 05:00:00,-4405.3,-7416.8,-33386.7,-1519.0,-4516.6,-48225.8,-901.3,-3014.3,-74276.4,-37616.7,-56392.3,-4071.4,-4406.7,-2239.5,-5790.7,-392.3,-1825.0,-4993.7,-7434.8,-822.1,-886.0,-3222.9,-1699.8,-1698.4,-820.7,-7447.4,-635.7,-8962.2,-1905.6,-1594.1,-2791.7,-5141.1,-7959.3,-16780.9
2050/01/03 06:00:00,-4564.8,-7685.3,-34595.6,-1574.0,-4680.1,-49972.0,-933.9,-3123.4,-76965.8,-38978.7,-58434.2,-4218.8,-4566.3,-2320.6,-6000.4,-406.5,-1891.1,-5174.5,-7704.0,-851.8,-918.1,-3339.6,-1761.4,-1759.9,-850.4,-7717.1,-658.7,-9286.7,-1974.6,-1651.9,-2892.8,-5327.3,-8247.5,-17388.5
2050/01/03 07:00:00,-4669.5,-7861.6,-35389.2,-1610.1,-4787.5,-51118.4,-955.4,-3195.1,-78731.4,-39872.9,-59774.7,-4315.6,-4671.0,-2373.9,-6138.0,-415.8,-1934.5,-5293.2,-7880.8,-871.4,-939.2,-3416.2,-1801.8,-1800.3,-869.9,-7894.1,-673.9,-9499.8,-2019.9,-1689.8,-2959.1,-5449.5,-8436.7,-17787.4
2050/01/03 08:00:00,-4681.8,-7882.3,-35482.1,-1614.3,-4800.1,-51252.5,-957.9,-3203.5,-78938.0,-39977.6,-59931.5,-4326.9,-4683.3,-2380.1,-6154.1,-416.9,-1939.5,-5307.1,-7901.5,-873.7,-941.7,-3425.2,-1806.5,-1805.0,-872.2,-7914.8,-675.6,-9524.7,-2025.2,-1694.2,-2966.9,-5463.8,-8458.8,-17834.1
2050/01/03 09:00:00,-4506.5,-7587.2,-34153.7,-1553.9,-4620.4,-49333.8,-922.0,-3083.5,-75982.8,-38480.9,-57687.9,-4164.9,-4507.9,-2291.0,-5923.7,-401.3,-1866.9,-5108.4,-7605.6,-841.0,-906.4,-3296.9,-1738.9,-1737.5,-839.5,-7618.5,-650.3,-9168.1,-1949.4,-1630.8,-2855.8,-5259.2,-8142.1,-17166.4
2050/01/03 10:00:00,-4285.9,-7215.8,-32482.0,-1477.8,-4394.2,-46919.0,-876.9,-2932.6,-72263.6,-36597.4,-54864.2,-3961.1,-4287.3,-2178.8,-5633.8,-381.6,-1775.5,-4858.4,-7233.4,-799.8,-862.0,-3135.5,-1653.8,-1652.4,-798.4,-7245.6,-618.5,-8719.3,-1854.0,-1550.9,-2716.0,-5001.8,-7743.6,-16326.2
2050/01/03 11:00:00,-4485.6,-7552.0,-33995.3,-1546.7,-4598.9,-49105.0,-917.7,-3069.2,-75630.5,-38302.5,-57420.3,-4145.6,-4487.0,-2280.4,-5896.3,-399.4,-1858.3,-5084.7,-7570.4,-837.1,-902.2,-3281.6,-1730.8,-1729.4,-835.6,-7583.2,-647.3,-9125.6,-1940.4,-1623.2,-2842.6,-5234.8,-8104.4,-17086.8
2050/01/03 12:00:00,-4536.8,-7638.2,-34383.6,-1564.3,-4651.4,-49665.8,-928.2,-3104.3,-76494.2,-38739.9,-58076.1,-4193.0,-4538.3,-2306.4,-5963.6,-404.0,-1879.5,-5142.8,-7656.8,-846.6,-912.5,-3319.1,-1750.6,-1749.2,-845.2,-7669.8,-654.7,-9229.8,-1962.5,-1641.7,-2875.0,-5294.6,-8196.9,-17282.0
2050/01/03 13:00:00,-4453.5,-7497.9,-33751.8,-1535.6,-4566.0,-48753.2,-911.2,-3047.2,-75088.7,-38028.1,-57009.0,-4115.9,-4454.9,-2264.0,-5854.0,-396.6,-1845.0,-5048.3,-7516.1,-831.1,-895.7,-3258.1,-1718.4,-1717.0,-829.6,-7528.9,-642.7,-9060.2,-1926.5,-1611.6,-2822.2,-5197.3,-8046.3,-16964.4
2050/01/03 14:00:00,-4349.3,-7322.5,-32962.4,-1499.7,-4459.2,-47612.9,-889.9,-2976.0,-73332.4,-37138.6,-55675.6,-4019.7,-4350.7,-2211.1,-5717.1,-387.3,-1801.8,-4930.2,-7340.3,-811.6,-874.8,-3181.9,-1678.2,-1676.9,-810.2,-7352.8,-627.6,-8848.3,-1881.4,-1573.9,-2756.2,-5075.8,-7858.1,-16567.6
2050/01/03 15:00:00,-4247.4,-7150.9,-32189.7,-1464.5,-4354.7,-46496.9,-869.0,-2906.2,-71613.5,-36268.1,-54370.6,-3925.4,-4248.7,-2159.2,-5583.1,-378.2,-1759.6,-4814.7,-7168.3,-792.6,-854.3,-3107.3,-1638.9,-1637.6,-791.2,-7180.4,-612.9,-8640.9,-1837.3,-1537.0,-2691.6,-4956.8,-7673.9,-16179.3
